Jour,Heure,Donnée,Valeur
2014-12-09,20:46:32,interieur,24.8
2014-12-09,20:46:34,interieur,24.8
2014-12-09,20:46:36,interieur,24.8
2014-12-09,20:46:38,interieur,24.8
2014-12-09,20:46:40,interieur,24.8
2014-12-09,20:46:42,interieur,24.8
2014-12-09,20:46:44,interieur,24.8
2014-12-09,20:46:46,interieur,24.8
2014-12-09,20:46:48,interieur,24.8
2014-12-09,20:46:50,interieur,24.8
2014-12-09,20:46:52,interieur,24.8
2014-12-09,20:46:54,interieur,24.8
2014-12-09,20:46:56,interieur,24.8
2014-12-09,20:46:58,interieur,24.8
2014-12-09,20:47:00,interieur,24.8
2014-12-09,20:47:02,interieur,24.8
2014-12-09,20:47:04,interieur,24.8
2014-12-09,20:47:06,interieur,24.8
2014-12-09,20:47:08,interieur,24.8
2014-12-09,20:47:10,interieur,24.8
2014-12-09,20:47:12,interieur,24.8
2014-12-09,20:47:14,interieur,24.7
2014-12-09,20:47:16,interieur,24.7
2014-12-09,20:47:18,interieur,24.6
2014-12-09,20:47:20,interieur,24.6
2014-12-09,20:47:22,interieur,24.6
2014-12-09,20:47:24,interieur,24.6
2014-12-09,20:47:26,interieur,24.5
2014-12-09,20:47:28,interieur,24.5
2014-12-09,20:47:30,interieur,24.5
2014-12-09,20:47:32,interieur,24.4
2014-12-09,20:47:35,interieur,24.4
2014-12-09,20:47:37,interieur,24.4
2014-12-09,20:47:39,interieur,24.4
2014-12-09,20:47:41,interieur,24.3
2014-12-09,20:47:43,interieur,24.3
2014-12-09,20:47:45,interieur,24.3
2014-12-09,20:47:47,interieur,24.3
2014-12-09,20:47:49,interieur,24.2
2014-12-09,20:47:51,interieur,24.2
2014-12-09,20:47:53,interieur,24.2
2014-12-09,20:47:55,interieur,24.2
2014-12-09,20:47:57,interieur,24.2
2014-12-09,20:47:59,interieur,24.1
2014-12-09,20:48:01,interieur,24.1
2014-12-09,20:48:03,interieur,24.1
2014-12-09,20:48:05,interieur,24.1
2014-12-09,20:48:07,interieur,24.1
2014-12-09,20:48:09,interieur,24.1
2014-12-09,20:48:11,interieur,24
2014-12-09,20:48:13,interieur,24
2014-12-09,20:48:15,interieur,24
2014-12-09,20:48:17,interieur,23.9
2014-12-09,20:48:19,interieur,23.9
2014-12-09,20:48:21,interieur,23.9
2014-12-09,20:48:23,interieur,23.8
2014-12-09,20:48:25,interieur,23.8
2014-12-09,20:48:27,interieur,23.8
2014-12-09,20:48:29,interieur,23.8
2014-12-09,20:48:31,interieur,23.7
2014-12-09,20:48:33,interieur,23.7
2014-12-09,20:48:35,interieur,23.6
2014-12-09,20:48:37,interieur,23.6
2014-12-09,20:48:39,interieur,23.6
2014-12-09,20:48:41,interieur,23.6
2014-12-09,20:48:43,interieur,23.5
2014-12-09,20:48:45,interieur,23.5
2014-12-09,20:48:47,interieur,23.5
2014-12-09,20:48:49,interieur,23.4
2014-12-09,20:48:51,interieur,23.4
2014-12-09,20:48:53,interieur,23.4
2014-12-09,20:48:55,interieur,23.4
2014-12-09,20:48:57,interieur,23.3
2014-12-09,20:48:59,interieur,23.3
2014-12-09,20:49:01,interieur,23.3
2014-12-09,20:49:03,interieur,23.3
2014-12-09,20:49:05,interieur,23.3
2014-12-09,20:49:07,interieur,23.2
2014-12-09,20:49:09,interieur,23.2
2014-12-09,20:49:11,interieur,23.2
2014-12-09,20:49:13,interieur,23.1
2014-12-09,20:49:15,interieur,23.1
2014-12-09,20:49:17,interieur,23.1
2014-12-09,20:49:19,interieur,23.1
2014-12-09,20:49:21,interieur,23.1
2014-12-09,20:49:23,interieur,23
2014-12-09,20:49:25,interieur,23
2014-12-09,20:49:27,interieur,23
2014-12-09,20:49:29,interieur,22.9
2014-12-09,20:49:31,interieur,22.9
2014-12-09,20:49:33,interieur,22.9
2014-12-09,20:49:35,interieur,22.9
2014-12-09,20:49:37,interieur,22.9
2014-12-09,20:49:39,interieur,22.8
2014-12-09,20:49:41,interieur,22.8
2014-12-09,20:49:43,interieur,22.8
2014-12-09,20:49:45,interieur,22.8
2014-12-09,20:49:47,interieur,22.8
2014-12-09,20:49:49,interieur,22.7
2014-12-09,20:49:51,interieur,22.7
2014-12-09,20:49:53,interieur,22.7
2014-12-09,20:49:55,interieur,22.7
2014-12-09,20:49:57,interieur,22.6
2014-12-09,20:49:59,interieur,22.6
2014-12-09,20:50:01,interieur,22.6
2014-12-09,20:50:03,interieur,22.6
2014-12-09,20:50:05,interieur,22.6
2014-12-09,20:50:07,interieur,22.6
2014-12-09,20:50:09,interieur,22.5
2014-12-09,20:50:11,interieur,22.5
2014-12-09,20:50:13,interieur,22.5
2014-12-09,20:50:15,interieur,22.4
2014-12-09,20:50:17,interieur,22.4
2014-12-09,20:50:19,interieur,22.4
2014-12-09,20:50:21,interieur,22.4
2014-12-09,20:50:23,interieur,22.4
2014-12-09,20:50:25,interieur,22.3
2014-12-09,20:50:27,interieur,22.3
2014-12-09,20:50:29,interieur,22.3
2014-12-09,20:50:31,interieur,22.3
2014-12-09,20:50:33,interieur,22.2
2014-12-09,20:50:35,interieur,22.2
2014-12-09,20:50:37,interieur,22.2
2014-12-09,20:50:39,interieur,22.2
2014-12-09,20:50:41,interieur,22.2
2014-12-09,20:50:43,interieur,22.2
2014-12-09,20:50:46,interieur,22.1
2014-12-09,20:50:48,interieur,22.1
2014-12-09,20:50:50,interieur,22.1
2014-12-09,20:50:52,interieur,22.1
2014-12-09,20:50:54,interieur,22
2014-12-09,20:50:56,interieur,22
2014-12-09,20:50:58,interieur,22
2014-12-09,20:51:00,interieur,21.9
2014-12-09,20:51:02,interieur,21.9
2014-12-09,20:51:04,interieur,21.9
2014-12-09,20:51:06,interieur,21.9
2014-12-09,20:51:08,interieur,21.9
2014-12-09,20:51:10,interieur,21.9
2014-12-09,20:51:12,interieur,21.9
2014-12-09,20:51:14,interieur,21.9
2014-12-09,20:51:16,interieur,21.8
2014-12-09,20:51:18,interieur,21.8
2014-12-09,20:51:20,interieur,21.8
2014-12-09,20:51:22,interieur,21.8
2014-12-09,20:51:24,interieur,21.8
2014-12-09,20:51:26,interieur,21.8
2014-12-09,20:51:28,interieur,21.8
2014-12-09,20:51:30,interieur,21.8
2014-12-09,20:51:32,interieur,21.8
2014-12-09,20:51:34,interieur,21.8
2014-12-09,20:51:36,interieur,21.8
2014-12-09,20:51:38,interieur,21.8
2014-12-09,20:51:40,interieur,21.8
2014-12-09,20:51:42,interieur,21.8
2014-12-09,20:51:44,interieur,21.8
2014-12-09,20:51:46,interieur,21.8
2014-12-09,20:51:48,interieur,21.8
2014-12-09,20:51:50,interieur,21.7
2014-12-09,20:51:52,interieur,21.8
2014-12-09,20:51:54,interieur,21.7
2014-12-09,20:51:56,interieur,21.7
2014-12-09,20:51:58,interieur,21.7
2014-12-09,20:52:00,interieur,21.7
2014-12-09,20:52:02,interieur,21.7
2014-12-09,20:52:04,interieur,21.7
2014-12-09,20:52:06,interieur,21.7
2014-12-09,20:52:08,interieur,21.7
2014-12-09,20:52:10,interieur,21.7
2014-12-09,20:52:12,interieur,21.7
2014-12-09,20:52:14,interieur,21.7
2014-12-09,20:52:17,interieur,21.6
2014-12-09,20:52:18,interieur,21.6
2014-12-09,20:52:21,interieur,21.6
2014-12-09,20:52:23,interieur,21.6
2014-12-09,20:52:25,interieur,21.6
2014-12-09,20:52:27,interieur,21.6
2014-12-09,20:52:29,interieur,21.6
2014-12-09,20:52:31,interieur,21.6
2014-12-09,20:52:33,interieur,21.6
2014-12-09,20:52:35,interieur,21.6
2014-12-09,20:52:37,interieur,21.5
2014-12-09,20:52:39,interieur,21.5
2014-12-09,20:52:41,interieur,21.5
2014-12-09,20:52:43,interieur,21.5
2014-12-09,20:52:45,interieur,21.5
2014-12-09,20:52:47,interieur,21.5
2014-12-09,20:52:49,interieur,21.5
2014-12-09,20:52:51,interieur,21.5
2014-12-09,20:52:53,interieur,21.5
2014-12-09,20:52:55,interieur,21.5
2014-12-09,20:52:57,interieur,21.5
2014-12-09,20:52:59,interieur,21.5
2014-12-09,20:53:01,interieur,21.5
2014-12-09,20:53:03,interieur,21.5
2014-12-09,20:53:05,interieur,21.5
2014-12-09,20:53:07,interieur,21.5
2014-12-09,20:53:09,interieur,21.5
2014-12-09,20:53:11,interieur,21.5
2014-12-09,20:53:13,interieur,21.5
2014-12-09,20:53:15,interieur,21.5
2014-12-09,20:53:17,interieur,21.5
2014-12-09,20:53:19,interieur,21.5
2014-12-09,20:53:21,interieur,21.5
2014-12-09,20:53:23,interieur,21.5
2014-12-09,20:53:25,interieur,21.5
2014-12-09,20:53:27,interieur,21.5
2014-12-09,20:53:29,interieur,21.4
2014-12-09,20:53:31,interieur,21.4
2014-12-09,20:53:33,interieur,21.4
2014-12-09,20:53:35,interieur,21.4
2014-12-09,20:53:37,interieur,21.4
2014-12-09,20:53:39,interieur,21.4
2014-12-09,20:53:41,interieur,21.4
2014-12-09,20:53:43,interieur,21.3
2014-12-09,20:53:45,interieur,21.3
2014-12-09,20:53:47,interieur,21.3
2014-12-09,20:53:49,interieur,21.3
2014-12-09,20:53:51,interieur,21.3
2014-12-09,20:53:53,interieur,21.3
2014-12-09,20:53:55,interieur,21.3
2014-12-09,20:53:58,interieur,21.2
2014-12-09,20:54:00,interieur,21.2
2014-12-09,20:54:02,interieur,21.2
2014-12-09,20:54:04,interieur,21.2
2014-12-09,20:54:06,interieur,21.2
2014-12-09,20:54:08,interieur,21.2
2014-12-09,20:54:10,interieur,21.2
2014-12-09,20:54:12,interieur,21.2
2014-12-09,20:54:14,interieur,21.2
2014-12-09,20:54:16,interieur,21.3
2014-12-09,20:54:18,interieur,21.3
2014-12-09,20:54:20,interieur,21.3
